sample_id,longitude,latitude,original_class_code,original_class_name,original_verified,original_verification_source,original_verification_notes,second_reader_class_name,second_reader_confidence,second_reader_initials,second_reader_source,second_reader_imagery_date_visible,second_reader_timestamp_utc,second_reader_notes,adjudicated_class_name,adjudication_decision,adjudicator_initials,adjudication_timestamp_utc,adjudication_notes,final_class_name,final_include_in_two_reader_adjudicated_reference,final_resolution_status,contact_sheet,contact_position,contact_sheet_path,map_url
RS01_001,103.5208138,1.4383726,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,1,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=1.4383726,103.5208138"
RS01_002,103.0615144,2.4483362,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,uninterpretable,low,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,"VHR image at point is cloud-obscured, shadowed, or otherwise not interpretable.",,,,,,oil_palm,False,NOT_SCORABLE_SECOND_READER_UNINTERPRETABLE,contact_01.png,2,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=2.4483362,103.0615144"
RS01_003,103.5071487,2.0835607,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,3,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=2.0835607,103.5071487"
RS01_004,102.8987605,2.5756798,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,4,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=2.5756798,102.8987605"
RS01_005,102.6807954,2.1636344,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,5,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=2.1636344,102.6807954"
RS01_006,102.8169735,1.8977126,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,6,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=1.8977126,102.8169735"
RS01_007,102.6702605,2.1374367,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,7,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=2.1374367,102.6702605"
RS01_008,104.1288078,1.5563003,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,8,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=1.5563003,104.1288078"
RS01_009,102.7648931,2.1294615,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,builtup_other,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,"Esri VHR: point falls on built-up, road, bare construction, water/shoreline, or other non-agricultural surface.",builtup_other,accept_second_reader,Daiwenzhe,2026-06-16T16:14:48Z,VHR point is on a house/cleared yard edge rather than oil-palm canopy.,builtup_other,True,ADJUDICATED_ACCEPT_SECOND_READER,contact_01.png,9,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=2.1294615,102.7648931"
RS01_010,102.3939623,2.3634145,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,10,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=2.3634145,102.3939623"
RS01_011,103.1331855,2.0308149,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,forest,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: continuous irregular forest canopy at point.,forest,accept_second_reader,Daiwenzhe,2026-06-16T16:14:48Z,VHR point lacks clear oil-palm row structure and is dominated by continuous tree canopy.,forest,True,ADJUDICATED_ACCEPT_SECOND_READER,contact_01.png,11,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=2.0308149,103.1331855"
RS01_012,103.6809226,2.408673,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,12,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=2.408673,103.6809226"
RS01_013,103.0101811,1.795069,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,13,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=1.795069,103.0101811"
RS01_014,103.5518473,1.7818462,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,oil_palm,high,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: regular oil-palm crown/row pattern at point.,,,,,,oil_palm,True,AGREED_ORIGINAL_AND_SECOND_READER,contact_01.png,14,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=1.7818462,103.5518473"
RS01_015,103.4332191,2.2775186,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,uncertain,low,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,"Esri VHR visible, but land-cover class is not confidently separable at the point; no guess made.",,,,,,oil_palm,False,NOT_SCORABLE_SECOND_READER_UNCERTAIN,contact_01.png,15,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=2.2775186,103.4332191"
RS01_016,103.2442284,1.7130013,1,oil_palm,True,Previously user-confirmed verified reference sample,Existing verified row carried into locked final reference set.,forest,medium,WD,"Esri World Imagery (ArcGIS REST, z18 contact-sheet VHR review)",unknown,2026-06-16T07:56:36Z,Esri VHR: continuous irregular forest canopy at point.,forest,accept_second_reader,Daiwenzhe,2026-06-16T16:14:48Z,VHR point is dominated by dense irregular tree canopy rather than clear oil-palm rows.,forest,True,ADJUDICATED_ACCEPT_SECOND_READER,contact_01.png,16,contact_sheets_z18/contact_01.png,"https://www.google.com/maps/search/?api=1&query=1.7130013,103.2442284"
