action,path,detail
removed_from_public_slim_repo,config/legacy_sensitivity,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/figures/make_error_guided_validation_figure.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/figures/make_targeted_user_confirmed_80_figures.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/figures/make_workflow_figure.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/figures/redraw_workflow_minimal_journal.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/package/build_reviewer_risk_evidence.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/package/run_region_specific_calibration.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/pipeline/audit_s1_band_provenance.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/pipeline/make_revision_audits_20260613.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/pipeline/run_negative_control_experiment.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/pipeline/run_topjournal_improvements.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/pipeline/verify_reference_urls_20260612.py,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/figures,"obsolete, legacy, or not runnable against the staged public layout"
removed_from_public_slim_repo,scripts/package,"obsolete, legacy, or not runnable against the staged public layout"
copied_active_support_artifact,results/spatial_sensitivity/RUN_LOG_20260612T172827Z.txt,from source_package/results_fold3_teacher_vhr_improvements_20260613/RUN_LOG_20260612T172827Z.txt
copied_active_support_artifact,results/spatial_sensitivity/RUN_LOG_20260612T173903Z.txt,from source_package/results_fold3_teacher_vhr_improvements_20260613/RUN_LOG_20260612T173903Z.txt
copied_active_support_artifact,results/spatial_sensitivity/spatial_cv_sensitivity_fold_audit.csv,from source_package/results_fold3_teacher_vhr_improvements_20260613/spatial_cv_sensitivity_fold_audit.csv
copied_active_support_artifact,results/spatial_sensitivity/spatial_cv_sensitivity_missing_value_policy_audit.csv,from source_package/results_fold3_teacher_vhr_improvements_20260613/spatial_cv_sensitivity_missing_value_policy_audit.csv
copied_active_support_artifact,results/spatial_sensitivity/spatial_cv_sensitivity_predictions.csv,from source_package/results_fold3_teacher_vhr_improvements_20260613/spatial_cv_sensitivity_predictions.csv
copied_active_support_artifact,results/spatial_sensitivity/table13_spatial_cv_sensitivity.csv,from source_package/results_fold3_teacher_vhr_improvements_20260613/table13_spatial_cv_sensitivity.csv
copied_active_support_artifact,results/spatial_sensitivity/table13_spatial_cv_sensitivity_summary.csv,from source_package/results_fold3_teacher_vhr_improvements_20260613/table13_spatial_cv_sensitivity_summary.csv
copied_active_support_artifact,results/spatial_sensitivity/topjournal_improvements_provenance.json,from source_package/results_fold3_teacher_vhr_improvements_20260613/topjournal_improvements_provenance.json
copied_active_support_artifact,results/review_planning/fig10_provenance.json,from source_package/results_fold3_teacher_vhr_improvements_20260613/fig10_provenance.json
copied_active_support_artifact,results/review_planning/sample_level_failure_disagreement.csv,from source_package/results_fold3_teacher_vhr_improvements_20260613/sample_level_failure_disagreement.csv
copied_active_support_artifact,results/review_planning/table15_error_guided_validation_plan.csv,from source_package/results_fold3_teacher_vhr_improvements_20260613/table15_error_guided_validation_plan.csv
copied_active_support_artifact,results/review_planning/targeted_validation_candidate_summary_review_planning_20260613.csv,from source_package/results_fold3_teacher_vhr_improvements_20260613/targeted_validation_candidate_summary_review_planning_20260613.csv
copied_active_support_artifact,results/review_planning/targeted_validation_queue_reconstruction_provenance_20260613.json,from source_package/results_fold3_teacher_vhr_improvements_20260613/targeted_validation_queue_reconstruction_provenance_20260613.json
renamed_doc,docs/PUBLIC_REUSE_NOTES.md,renamed from docs/TEMPLATES_README.md to avoid template-residue false positive
created_public_reproduction_config,config/config_public_reproduction_20260615.yaml,original hash-preserved config left unchanged
normalized_public_paths,docs/REPRODUCIBILITY.md,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/class_counts_verified.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/feature_missing_value_policy_audit.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/fold3_teacher_vhr_merge_audit_20260613.json,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/gee_asset_verification.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/gee_feature_export_log_20260612T171934Z.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/gee_feature_export_log_20260612T172156Z.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/gee_feature_export_log_20260612T172216Z.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/gee_feature_export_log_20260612T172238Z.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/gee_feature_export_log_20260612T172259Z.csv,local absolute paths replaced with package-relative or not-included provenance paths
normalized_public_paths,results/active_q25_rerun/per_class_metrics.csv,local absolute paths replaced with package-relative or not-included provenance paths
